Zip Code multiple,Property,Int ID,Zip Code
Nuveen Elimination,DEPRECIATION & AMORTIZATION,459,
Exporo Bestand 46 GmbH (EUR),DEPRECIATION & AMORTIZATION,459,
Consolidation Elimination,DEPRECIATION & AMORTIZATION,459,
productivity subsidiary,DEPRECIATION & AMORTIZATION,459,
Test Entity,DEPRECIATION & AMORTIZATION,459,
IMMO Investment Technologies S.à r.l. (LUX),DEPRECIATION & AMORTIZATION,459,
IMMO Fund (consolidation entity),DEPRECIATION & AMORTIZATION,459,
IMMO Capital Fund GP S.à r.l (LUX),DEPRECIATION & AMORTIZATION,459,
IMMO Capital Investment Funds SCSp SICAV-RAIF (LUX),DEPRECIATION & AMORTIZATION,459,
Capital fund Elimination,DEPRECIATION & AMORTIZATION,459,
IMMO Services Companies (Consolidation entity),DEPRECIATION & AMORTIZATION,459,
IMMO Investment Technologies UK Limited (UK),DEPRECIATION & AMORTIZATION,459,
INSTA IMMO GmbH (GER),DEPRECIATION & AMORTIZATION,459,
Chandos Holdings UG,DEPRECIATION & AMORTIZATION,459,
Arcangel Assets GmbH,DEPRECIATION & AMORTIZATION,459,
Ruscha Residential GmbH,DEPRECIATION & AMORTIZATION,459,
Chandos Elimination,DEPRECIATION & AMORTIZATION,459,
IMMO Investment Technologies España S.L (SPN),DEPRECIATION & AMORTIZATION,459,
IMMO Digital Solutions India Private Limited (INR),DEPRECIATION & AMORTIZATION,459,
IMMO Service Elimination entity,DEPRECIATION & AMORTIZATION,459,
IMMO Property Owning Structure (Consolidation entity),DEPRECIATION & AMORTIZATION,459,
Carilux Investment S.à r.l (LUX),DEPRECIATION & AMORTIZATION,459,
Moonstone Holdings S.à r.l (LUX),DEPRECIATION & AMORTIZATION,459,
Matis Investment S.à r.l (LUX),DEPRECIATION & AMORTIZATION,459,
"IMMO Central Portfolio Spain, S.L. (SPN)",DEPRECIATION & AMORTIZATION,459,
"IMMO IT Spain Portfolio, S.L. (SPN)",DEPRECIATION & AMORTIZATION,459,
IMMO IT SPAIN ELIMINATION,DEPRECIATION & AMORTIZATION,459,
IMMO German Service GmbH (GER),DEPRECIATION & AMORTIZATION,459,
IMMO German Property GmbH (GER),DEPRECIATION & AMORTIZATION,459,
IMMO German Service II GmbH (GER),DEPRECIATION & AMORTIZATION,459,
IMMO German Property II GmbH (GER),DEPRECIATION & AMORTIZATION,459,
IMMO Central Portfolio UK Limited (UK),DEPRECIATION & AMORTIZATION,459,
Matis Investment Elimination,DEPRECIATION & AMORTIZATION,459,
Matis Elimination(Moonstone),DEPRECIATION & AMORTIZATION,459,
Moonstone Elimination(carilux),DEPRECIATION & AMORTIZATION,459,
IMMO Investment Elimination,DEPRECIATION & AMORTIZATION,459,
IMMO Managed Companies (Consolidation entity),DEPRECIATION & AMORTIZATION,459,
RainMaker Investments GmbH (EUR),DEPRECIATION & AMORTIZATION,459,
RI Nord GmbH (EUR),DEPRECIATION & AMORTIZATION,459,
RI Living GmbH (EUR),DEPRECIATION & AMORTIZATION,459,
Rainmaker Elimination,DEPRECIATION & AMORTIZATION,459,
Chandos Holdings UG ( IMMO managed),DEPRECIATION & AMORTIZATION,459,
Arcangel Assets GmbH (IMMO managed),DEPRECIATION & AMORTIZATION,459,
Chandos Elimination (IMMO managed),DEPRECIATION & AMORTIZATION,459,
RI Living GmbH (EUR),DEPRECIATION & AMORTIZATION : Depreciation & Amortization: Investment Property Buildings,2732,
